Dataset,Channel,Sparsifying Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
bciiv_1,AF3,DCT,OMP,4.687485487893803,0.046874854878938034,21.09094715977296,13.79850435256958
bciiv_1,AF4,DCT,OMP,0.28535276610970745,0.0028535276610970745,26.519187703824368,13.79850435256958
bciiv_1,F5,DCT,OMP,1.365190182637081,0.01365190182637081,19.374193242896755,13.79850435256958
bciiv_1,F3,DCT,OMP,4.415064616368881,0.044150646163688814,15.99542903977509,13.79850435256958
bciiv_1,F1,DCT,OMP,1.262811753647771,0.01262811753647771,23.477229149065835,13.79850435256958
bciiv_1,Fz,DCT,OMP,1.462499199510387,0.014624991995103871,23.92220741531842,13.79850435256958
bciiv_1,F2,DCT,OMP,0.3790232612096877,0.0037902326120968772,24.40988377838291,13.79850435256958
bciiv_1,F4,DCT,OMP,0.16049332187525236,0.0016049332187525237,29.810715460138386,13.79850435256958
bciiv_1,F6,DCT,OMP,4.757400941563246,0.04757400941563246,24.898480063351226,13.79850435256958
bciiv_1,FC5,DCT,OMP,6.605008766734056,0.06605008766734055,18.58342967408889,13.79850435256958
bciiv_1,FC3,DCT,OMP,4.282603036729704,0.042826030367297034,14.106338665792254,13.79850435256958
bciiv_1,FC1,DCT,OMP,1.335984015035829,0.013359840150358291,19.187131641980354,13.79850435256958
bciiv_1,FCz,DCT,OMP,0.8060376144016393,0.008060376144016394,23.940452378015138,13.79850435256958
bciiv_1,FC2,DCT,OMP,0.6544307674391165,0.006544307674391165,22.000321379688753,13.79850435256958
bciiv_1,FC4,DCT,OMP,3.7322162566440045,0.03732216256644005,16.395458485965907,13.79850435256958
bciiv_1,FC6,DCT,OMP,1.2964552765077109,0.012964552765077108,29.215966829474254,13.79850435256958
bciiv_1,CFC7,DCT,OMP,3.4714352369025745,0.034714352369025744,16.417886611388145,13.79850435256958
bciiv_1,CFC5,DCT,OMP,0.8937907088201102,0.008937907088201103,28.414647352799612,13.79850435256958
bciiv_1,CFC3,DCT,OMP,3.0659636800839443,0.030659636800839444,19.367903530928206,13.79850435256958
bciiv_1,CFC1,DCT,OMP,0.6318246642546733,0.006318246642546733,24.505820787781754,13.79850435256958
bciiv_1,CFC2,DCT,OMP,0.49301431846419047,0.004930143184641905,23.06639038880871,13.79850435256958
bciiv_1,CFC4,DCT,OMP,0.6535201966734127,0.006535201966734127,21.841467779197608,13.79850435256958
bciiv_1,CFC6,DCT,OMP,0.9538376491627011,0.009538376491627011,26.8472561593116,13.79850435256958
bciiv_1,CFC8,DCT,OMP,0.8510973590623422,0.008510973590623422,29.777730030488556,13.79850435256958
bciiv_1,T7,DCT,OMP,3.881875807379197,0.03881875807379197,22.65947602308332,13.79850435256958
bciiv_1,C5,DCT,OMP,1.0749974248017715,0.010749974248017715,25.121702207433664,13.79850435256958
bciiv_1,C3,DCT,OMP,0.8615767986997982,0.008615767986997981,21.079704641903017,13.79850435256958
bciiv_1,C1,DCT,OMP,0.8147058443628785,0.008147058443628785,20.912635893366538,13.79850435256958
bciiv_1,Cz,DCT,OMP,0.6578409236856897,0.006578409236856896,22.182203982598594,13.79850435256958
bciiv_1,C2,DCT,OMP,0.5998607727474262,0.005998607727474263,23.08424575621208,13.79850435256958
bciiv_1,C4,DCT,OMP,2.091162899165515,0.020911628991655152,20.65534305044761,13.79850435256958
bciiv_1,C6,DCT,OMP,1.390112443994073,0.01390112443994073,26.04558717003185,13.79850435256958
bciiv_1,T8,DCT,OMP,1.3636244093718723,0.013636244093718724,29.03430253891033,13.79850435256958
bciiv_1,CCP7,DCT,OMP,3.5124000280732357,0.035124000280732356,21.841301310390673,13.79850435256958
bciiv_1,CCP5,DCT,OMP,0.7424188214197951,0.007424188214197951,22.347872498589034,13.79850435256958
bciiv_1,CCP3,DCT,OMP,0.8714511657788507,0.008714511657788507,20.636863209696564,13.79850435256958
bciiv_1,CCP1,DCT,OMP,0.6956508949788115,0.006956508949788115,22.300234564183565,13.79850435256958
bciiv_1,CCP2,DCT,OMP,0.7854783125995173,0.007854783125995173,21.56627566610867,13.79850435256958
bciiv_1,CCP4,DCT,OMP,0.7807577345472927,0.007807577345472927,21.785245439151684,13.79850435256958
bciiv_1,CCP6,DCT,OMP,0.24322920753552477,0.0024322920753552476,30.233737538477957,13.79850435256958
