Dataset,Sensing Matrix,Algorithm,mean_PRD,mean_NMSE,mean_SNDR,mean_Time_s
bciiii_2,BPBD,BPDN,8.919403087793077,0.08919403087793075,11.101526702995171,0.7619840860366821
bciiii_2,BPBD,OMP,6.743455387486124,0.0674345538748613,13.736933745095481,1.5059662580490112
bciiii_2,Bernoulli,BPDN,19.592194906665217,0.19592194906665208,7.436487108163419,4.223355436325074
bciiii_2,Bernoulli,OMP,48.30988616571796,0.4830988616571797,5.2314094345513755,1.582249355316162
bciiii_2,Gaussian,BPDN,19.376272104228185,0.19376272104228193,7.498833493170535,4.314597582817077
bciiii_2,Gaussian,OMP,46.889372392197245,0.4688937239219727,5.2762862857054715,1.4467312574386597
bciiii_2,SB,BPDN,20.453461847648825,0.20453461847648818,6.976213094822884,3.1429970264434814
bciiii_2,SB,OMP,47.67366640991342,0.47673666409913446,5.225380858732746,1.5868965625762939
bciiii_2,Undersampled,BPDN,31.866325987258165,0.31866325987258215,3.5314930755240797,0.8373895168304444
bciiii_2,Undersampled,OMP,41.888656890061824,0.4188865689006177,5.848023443708767,1.2593186378479004
bciiv_1,BPBD,BPDN,4.497983896112614,0.044979838961126034,19.23231884282065,0.8438366174697876
bciiv_1,BPBD,OMP,3.7547076892885083,0.037547076892885035,20.528543827226983,1.393918228149414
bciiv_1,Bernoulli,BPDN,8.683083178739938,0.08683083178739942,15.684263276050732,4.817922186851502
bciiv_1,Bernoulli,OMP,19.714423146931875,0.19714423146931873,13.020386795044109,1.433358120918274
bciiv_1,Gaussian,BPDN,8.902768525177406,0.08902768525177396,15.744706720382286,4.812903237342835
bciiv_1,Gaussian,OMP,19.578892831916697,0.19578892831916725,13.012652494590307,1.31686429977417
bciiv_1,SB,BPDN,9.143225232512279,0.09143225232512268,15.196170662196225,3.7027014970779417
bciiv_1,SB,OMP,18.988845972222833,0.18988845972222806,13.1743349114259,1.4424165725708007
bciiv_1,Undersampled,BPDN,15.445679098233702,0.15445679098233706,11.82093596124626,0.9871877908706665
bciiv_1,Undersampled,OMP,16.374478292360564,0.16374478292360553,13.700125002180151,1.2793751955032349
chbmit,BPBD,BPDN,10.79656582070711,0.10796565820707103,14.668371299650929,0.6935076236724853
chbmit,BPBD,OMP,11.943193824509533,0.11943193824509542,15.288473900392143,0.5667507410049438
chbmit,Bernoulli,BPDN,22.602977786288722,0.22602977786288733,7.248881529180972,2.76281361579895
chbmit,Bernoulli,OMP,51.984777496968306,0.5198477749696832,6.12986519168144,0.5707032442092895
chbmit,Gaussian,BPDN,22.2463007335103,0.22246300733510266,7.509817313133412,2.6255534172058104
chbmit,Gaussian,OMP,51.40403601981609,0.514040360198161,6.301354653252311,0.5010898590087891
chbmit,SB,BPDN,22.929320277100643,0.22929320277100626,7.0441652231882195,2.1566729068756105
chbmit,SB,OMP,52.82942659506063,0.528294265950606,6.040015678772263,0.5460794925689697
chbmit,Undersampled,BPDN,21.90283343007256,0.2190283343007255,6.73589389720619,0.6509140253067016
chbmit,Undersampled,OMP,48.899162640200736,0.4889916264020067,6.379349094485578,0.5122203588485718
