Dataset,Channel,Sparsifying Matrix,Algorithm,PRD,NMSE,SNDR,Time (s)
chbmit,FP1-F7,DCT,OMP,8.441954769188753,0.08441954769188753,10.874987614639402,0.5475273132324219
chbmit,F7-T7,DCT,OMP,38.631837693677355,0.3863183769367735,3.3573704326863965,0.5475273132324219
chbmit,T7-P7,DCT,OMP,43.43322174817878,0.4343322174817878,2.7348231921988413,0.5475273132324219
chbmit,P7-O1,DCT,OMP,9.520212117357644,0.09520212117357645,10.02086906939632,0.5475273132324219
chbmit,FP1-F3,DCT,OMP,13.978269449498008,0.13978269449498007,8.413942680128931,0.5475273132324219
chbmit,F3-C3,DCT,OMP,4.414148049522872,0.044141480495228716,13.472048884077118,0.5475273132324219
chbmit,C3-P3,DCT,OMP,9.983781466920535,0.09983781466920534,9.808688271048716,0.5475273132324219
chbmit,P3-O1,DCT,OMP,9.869026975946218,0.09869026975946218,9.923619450147635,0.5475273132324219
chbmit,FP2-F4,DCT,OMP,1.620787720363733,0.01620787720363733,17.890404232107294,0.5475273132324219
chbmit,F4-C4,DCT,OMP,3.4806404581048063,0.03480640458104806,14.581305304207316,0.5475273132324219
chbmit,C4-P4,DCT,OMP,14.6651111378066,0.146651111378066,8.127643215824854,0.5475273132324219
chbmit,P4-O2,DCT,OMP,13.365191860927867,0.13365191860927866,8.60662537154936,0.5475273132324219
chbmit,FP2-F8,DCT,OMP,11.769296451705062,0.11769296451705061,9.196960746379938,0.5475273132324219
chbmit,F8-T8,DCT,OMP,28.040696803328714,0.28040696803328713,4.91870083578669,0.5475273132324219
chbmit,T8-P8,DCT,OMP,8.86591912147843,0.0886591912147843,10.465101952928446,0.5475273132324219
chbmit,P8-O2,DCT,OMP,40.03162527411522,0.4003162527411522,3.3456539577304185,0.5475273132324219
chbmit,FZ-CZ,DCT,OMP,39.01904486694344,0.39019044866943436,3.4192975416778326,0.5475273132324219
chbmit,CZ-PZ,DCT,OMP,24.61959637036897,0.2461959637036897,5.581566814858241,0.5475273132324219
chbmit,P7-T7,DCT,OMP,43.43322174817878,0.4343322174817878,2.729648873676182,0.5475273132324219
chbmit,T7-FT9,DCT,OMP,49.98882776223593,0.49988827762235927,1.9734374732322486,0.5475273132324219
chbmit,FT9-FT10,DCT,OMP,18.141974715069704,0.18141974715069703,7.307902113033777,0.5475273132324219
chbmit,FT10-T8,DCT,OMP,43.59607487500137,0.4359607487500137,2.8053708229436527,0.5475273132324219
chbmit,FP1-F7,DCT,OMP,0.3716018224081616,0.003716018224081616,24.39906272526798,0.5441269874572754
chbmit,F7-T7,DCT,OMP,1.4623695078713825,0.014623695078713824,18.502364809781614,0.5441269874572754
chbmit,T7-P7,DCT,OMP,23.5431023242696,0.23543102324269602,6.200607301206183,0.5441269874572754
chbmit,P7-O1,DCT,OMP,11.193755126949299,0.111937551269493,10.79760354778028,0.5441269874572754
chbmit,FP1-F3,DCT,OMP,0.6485294750722002,0.006485294750722002,21.8760024285482,0.5441269874572754
chbmit,F3-C3,DCT,OMP,4.3939493488632495,0.04393949348863249,13.512395215159234,0.5441269874572754
chbmit,C3-P3,DCT,OMP,1.06996454093414,0.0106996454093414,19.750016394005996,0.5441269874572754
chbmit,P3-O1,DCT,OMP,2.448771513413527,0.024487715134135273,16.49179522991922,0.5441269874572754
chbmit,FP2-F4,DCT,OMP,5.215955039404394,0.052159550394043935,12.821090187444074,0.5441269874572754
chbmit,F4-C4,DCT,OMP,5.760128663242611,0.05760128663242611,12.377486855448247,0.5441269874572754
chbmit,C4-P4,DCT,OMP,0.7111832026930264,0.007111832026930264,21.471266999036235,0.5441269874572754
chbmit,P4-O2,DCT,OMP,3.3606887212783128,0.033606887212783126,14.774100617850475,0.5441269874572754
chbmit,FP2-F8,DCT,OMP,2.064257555273004,0.02064257555273004,17.060931081666958,0.5441269874572754
chbmit,F8-T8,DCT,OMP,7.449331368967519,0.07449331368967518,11.178977923310203,0.5441269874572754
chbmit,T8-P8,DCT,OMP,0.12451476376966178,0.0012451476376966178,29.16258024330357,0.5441269874572754
chbmit,P8-O2,DCT,OMP,5.7834008527854746,0.057834008527854745,12.424937933426687,0.5441269874572754
chbmit,FZ-CZ,DCT,OMP,17.843978516532037,0.17843978516532036,7.475962975030377,0.5441269874572754
chbmit,CZ-PZ,DCT,OMP,21.22951753694248,0.2122951753694248,6.314906796655283,0.5441269874572754
chbmit,P7-T7,DCT,OMP,23.54310232426962,0.23543102324269619,6.189117147409114,0.5441269874572754
chbmit,T7-FT9,DCT,OMP,12.350643508133247,0.12350643508133247,9.138101346732002,0.5441269874572754
chbmit,FT9-FT10,DCT,OMP,0.40028577638804297,0.00400285776388043,24.185630418329612,0.5441269874572754
chbmit,FT10-T8,DCT,OMP,11.32903400694856,0.1132903400694856,9.437496170114429,0.5441269874572754
chbmit,FP1-F7,DCT,OMP,27.310911027746126,0.27310911027746126,5.1201719951400015,0.5445177555084229
chbmit,F7-T7,DCT,OMP,36.22416335436923,0.3622416335436923,4.078269178399639,0.5445177555084229
chbmit,T7-P7,DCT,OMP,33.55847237360845,0.33558472373608456,4.256516605308358,0.5445177555084229
chbmit,P7-O1,DCT,OMP,5.424450216125708,0.05424450216125708,12.586704499546254,0.5445177555084229
chbmit,FP1-F3,DCT,OMP,18.313117928579675,0.18313117928579675,7.099168979657552,0.5445177555084229
chbmit,F3-C3,DCT,OMP,10.828079017112426,0.10828079017112426,9.595268702469165,0.5445177555084229
chbmit,C3-P3,DCT,OMP,2.2321376980098897,0.022321376980098895,16.470690144804948,0.5445177555084229
chbmit,P3-O1,DCT,OMP,2.476676624447375,0.02476676624447375,16.027553385804225,0.5445177555084229
chbmit,FP2-F4,DCT,OMP,2.644163017360223,0.02644163017360223,15.741686940582111,0.5445177555084229
chbmit,F4-C4,DCT,OMP,1.2832016692998742,0.012832016692998743,18.902342712149146,0.5445177555084229
chbmit,C4-P4,DCT,OMP,31.136505187283092,0.3113650518728309,4.4485041908435115,0.5445177555084229
chbmit,P4-O2,DCT,OMP,25.105881443195354,0.25105881443195355,5.4893802127405165,0.5445177555084229
chbmit,FP2-F8,DCT,OMP,2.522545823782449,0.02522545823782449,15.929991991954482,0.5445177555084229
chbmit,F8-T8,DCT,OMP,2.3346943981457815,0.023346943981457816,16.307494339480307,0.5445177555084229
chbmit,T8-P8,DCT,OMP,23.979469819993827,0.2397946981999383,5.748939514994824,0.5445177555084229
chbmit,P8-O2,DCT,OMP,11.70809017283288,0.11708090172832882,9.195223895524913,0.5445177555084229
chbmit,FZ-CZ,DCT,OMP,7.002308309968066,0.07002308309968065,11.397567151041024,0.5445177555084229
chbmit,CZ-PZ,DCT,OMP,2.7394642690944306,0.027394642690944306,15.576959623612547,0.5445177555084229
chbmit,P7-T7,DCT,OMP,33.55847237360844,0.3355847237360844,4.256739189498158,0.5445177555084229
chbmit,T7-FT9,DCT,OMP,41.994760424555054,0.41994760424555055,3.341728752283788,0.5445177555084229
chbmit,FT9-FT10,DCT,OMP,5.972289692492227,0.05972289692492227,12.116414254318585,0.5445177555084229
chbmit,FT10-T8,DCT,OMP,11.666185575532593,0.11666185575532594,9.139524611598798,0.5445177555084229
chbmit,FP1-F7,DCT,OMP,43.085439722257306,0.43085439722257307,3.2132551961516604,0.544428825378418
chbmit,F7-T7,DCT,OMP,48.62973727619874,0.4862973727619874,2.4002871663564247,0.544428825378418
chbmit,T7-P7,DCT,OMP,50.61316832818555,0.5061316832818555,2.249094881890017,0.544428825378418
chbmit,P7-O1,DCT,OMP,7.71835440991994,0.0771835440991994,10.965780241890535,0.544428825378418
chbmit,FP1-F3,DCT,OMP,32.9588231832991,0.329588231832991,4.274845002232274,0.544428825378418
chbmit,F3-C3,DCT,OMP,11.596570286141958,0.11596570286141958,9.17333939115318,0.544428825378418
chbmit,C3-P3,DCT,OMP,3.4220816224412087,0.03422081622441209,14.647703182234562,0.544428825378418
chbmit,P3-O1,DCT,OMP,7.2364970350510625,0.07236497035051062,11.325206718623296,0.544428825378418
chbmit,FP2-F4,DCT,OMP,2.3478332978984193,0.023478332978984193,16.269150498040982,0.544428825378418
chbmit,F4-C4,DCT,OMP,1.722493057492843,0.01722493057492843,17.62832950539058,0.544428825378418
chbmit,C4-P4,DCT,OMP,40.15054062068336,0.40150540620683356,3.291918445183252,0.544428825378418
chbmit,P4-O2,DCT,OMP,26.67321996035646,0.2667321996035646,5.442475058846058,0.544428825378418
chbmit,FP2-F8,DCT,OMP,6.592304713527426,0.06592304713527426,11.694106339464984,0.544428825378418
chbmit,F8-T8,DCT,OMP,4.4947534187589415,0.044947534187589414,13.444509261516078,0.544428825378418
chbmit,T8-P8,DCT,OMP,35.97473214147155,0.3597473214147155,3.962845897430939,0.544428825378418
chbmit,P8-O2,DCT,OMP,38.844043334400276,0.38844043334400274,3.4246969307973933,0.544428825378418
chbmit,FZ-CZ,DCT,OMP,35.50693799691607,0.3550693799691607,4.1027095664718,0.544428825378418
chbmit,CZ-PZ,DCT,OMP,5.446700093634302,0.05446700093634302,12.592463938965427,0.544428825378418
chbmit,P7-T7,DCT,OMP,50.61316832818555,0.5061316832818555,2.251183125333637,0.544428825378418
chbmit,T7-FT9,DCT,OMP,55.17542445721849,0.5517542445721849,1.783278908428827,0.544428825378418
chbmit,FT9-FT10,DCT,OMP,5.958436861989017,0.05958436861989017,12.171959833497256,0.544428825378418
chbmit,FT10-T8,DCT,OMP,42.36931565759628,0.4236931565759628,3.0909379910390102,0.544428825378418
chbmit,FP1-F7,DCT,OMP,9.435802361764228,0.09435802361764228,10.17563285214036,0.5419051647186279
chbmit,F7-T7,DCT,OMP,0.9801494860057615,0.009801494860057615,20.088104298438587,0.5419051647186279
chbmit,T7-P7,DCT,OMP,0.6049911179787111,0.006049911179787111,22.21466632969384,0.5419051647186279
chbmit,P7-O1,DCT,OMP,0.5202487282545504,0.005202487282545504,22.86881617073574,0.5419051647186279
chbmit,FP1-F3,DCT,OMP,10.9428295963797,0.10942829596379701,9.481429299673277,0.5419051647186279
chbmit,F3-C3,DCT,OMP,2.9791956117912903,0.029791956117912903,15.207916415824158,0.5419051647186279
chbmit,C3-P3,DCT,OMP,0.4119569648914992,0.004119569648914992,23.917630353657863,0.5419051647186279
chbmit,P3-O1,DCT,OMP,0.5909290542844418,0.005909290542844417,22.420781694748104,0.5419051647186279
chbmit,FP2-F4,DCT,OMP,0.13976452504050096,0.0013976452504050098,28.6063504519008,0.5419051647186279
chbmit,F4-C4,DCT,OMP,0.23095341691611262,0.0023095341691611263,26.5550685912283,0.5419051647186279
chbmit,C4-P4,DCT,OMP,0.5395367827744567,0.005395367827744567,22.705409298897155,0.5419051647186279
chbmit,P4-O2,DCT,OMP,0.3382087085090241,0.0033820870850902415,24.700311930536827,0.5419051647186279
chbmit,FP2-F8,DCT,OMP,0.27449887894478947,0.0027449887894478945,25.710164122039416,0.5419051647186279
chbmit,F8-T8,DCT,OMP,0.5154324191844887,0.005154324191844886,22.900805423818603,0.5419051647186279
chbmit,T8-P8,DCT,OMP,1.5910496845879598,0.0159104968458796,17.977034225141676,0.5419051647186279
chbmit,P8-O2,DCT,OMP,1.080483219607371,0.01080483219607371,19.69636532364528,0.5419051647186279
chbmit,FZ-CZ,DCT,OMP,0.45847710108806977,0.004584771010880698,23.392103203271613,0.5419051647186279
chbmit,CZ-PZ,DCT,OMP,0.7622147573560154,0.007622147573560154,21.16703984650707,0.5419051647186279
chbmit,P7-T7,DCT,OMP,0.604991117978711,0.0060499111797871095,22.20885887524044,0.5419051647186279
chbmit,T7-FT9,DCT,OMP,1.047310169013669,0.010473101690136691,19.795592224750116,0.5419051647186279
chbmit,FT9-FT10,DCT,OMP,0.5707163253041613,0.005707163253041613,22.445962558524112,0.5419051647186279
chbmit,FT10-T8,DCT,OMP,1.4854624433064765,0.014854624433064765,18.32614305487439,0.5419051647186279
bciiv_1,AF3,DCT,OMP,1.094608916770021,0.01094608916770021,21.98180876891417,1.402850866317749
bciiv_1,AF4,DCT,OMP,0.21970876400936398,0.00219708764009364,26.662275661466758,1.402850866317749
bciiv_1,F5,DCT,OMP,2.067461639986096,0.020674616399860957,24.453271996958147,1.402850866317749
bciiv_1,F3,DCT,OMP,0.9777497103683539,0.009777497103683539,23.789218981730773,1.402850866317749
bciiv_1,F1,DCT,OMP,1.6378551992712584,0.016378551992712584,21.794104201690104,1.402850866317749
bciiv_1,Fz,DCT,OMP,1.0945154068302112,0.010945154068302113,21.55283244499153,1.402850866317749
bciiv_1,F2,DCT,OMP,1.0929137377323652,0.010929137377323652,25.161409991557342,1.402850866317749
bciiv_1,F4,DCT,OMP,0.24379707290985886,0.0024379707290985886,26.446914945582428,1.402850866317749
bciiv_1,F6,DCT,OMP,0.6399617899236345,0.006399617899236345,23.512542749033244,1.402850866317749
bciiv_1,FC5,DCT,OMP,1.3131972687923312,0.013131972687923313,23.990548925489588,1.402850866317749
bciiv_1,FC3,DCT,OMP,0.9930844934846581,0.009930844934846582,23.76138644580381,1.402850866317749
bciiv_1,FC1,DCT,OMP,3.6852080551961404,0.0368520805519614,22.744592259695068,1.402850866317749
bciiv_1,FCz,DCT,OMP,1.2769268194922982,0.012769268194922983,19.29467925166206,1.402850866317749
bciiv_1,FC2,DCT,OMP,1.380963784814364,0.01380963784814364,21.361271449440725,1.402850866317749
bciiv_1,FC4,DCT,OMP,0.6337403862942097,0.006337403862942097,24.884131005298702,1.402850866317749
bciiv_1,FC6,DCT,OMP,0.37212223212830164,0.0037212223212830164,25.029475025328306,1.402850866317749
bciiv_1,CFC7,DCT,OMP,1.313558112597936,0.013135581125979361,24.36407641853834,1.402850866317749
bciiv_1,CFC5,DCT,OMP,0.4322958866614015,0.004322958866614015,25.80228523330314,1.402850866317749
bciiv_1,CFC3,DCT,OMP,1.4862605542180802,0.014862605542180803,24.27483662865592,1.402850866317749
bciiv_1,CFC1,DCT,OMP,2.8689612266630844,0.028689612266630842,20.939099153667065,1.402850866317749
bciiv_1,CFC2,DCT,OMP,2.377694856755636,0.023776948567556362,24.858279737627257,1.402850866317749
bciiv_1,CFC4,DCT,OMP,2.9672020193527002,0.029672020193527,21.436732793118466,1.402850866317749
