Sensing Matrix,Sparsifying Matrix,Algorithm,NMSE (mean ± std),PRD (mean ± std),SNDR (mean ± std),Elapsed Time (mean ± std)
BPBD,DCT,BPD,0.029724 ± 0.055919,13.250790 ± 11.030211,20.062646 ± 6.572509,0.705340 ± 0.428147
BPBD,DCT,BPDN,0.029724 ± 0.055918,13.250782 ± 11.030174,20.062647 ± 6.572506,0.715848 ± 0.445021
BPBD,DCT,OMP_k10,0.147589 ± 0.162135,32.503598 ± 20.479870,11.821591 ± 6.375531,0.323622 ± 0.154762
BPBD,DCT,OMP_k100,0.031378 ± 0.064287,13.290074 ± 11.711370,20.108320 ± 6.555256,2.965667 ± 1.252588
BPBD,DCT,OMP_k120,0.029017 ± 0.062650,12.545600 ± 11.523287,20.752991 ± 6.713302,4.014552 ± 1.656080
BPBD,DCT,OMP_k150,0.027278 ± 0.061607,11.928812 ± 11.423160,21.386544 ± 6.969833,6.023609 ± 2.461285
BPBD,DCT,OMP_k180,0.026650 ± 0.061301,11.680973 ± 11.404479,21.677740 ± 7.123553,8.496278 ± 3.452601
BPBD,DCT,OMP_k20,0.091546 ± 0.119068,25.000160 ± 17.042997,14.186314 ± 6.361619,0.561463 ± 0.284437
BPBD,DCT,OMP_k210,0.026474 ± 0.061248,11.604844 ± 11.404810,21.765169 ± 7.157882,11.352306 ± 4.470933
BPBD,DCT,OMP_k30,0.068626 ± 0.098974,21.275746 ± 15.284258,15.647545 ± 6.354879,0.788749 ± 0.396293
BPBD,DCT,OMP_k40,0.056039 ± 0.086957,18.964823 ± 14.167883,16.697674 ± 6.359447,1.033430 ± 0.492018
BPBD,DCT,OMP_k50,0.048011 ± 0.079098,17.346670 ± 13.386899,17.519950 ± 6.372537,1.276098 ± 0.580093
BPBD,DCT,OMP_k60,0.042460 ± 0.073774,16.134085 ± 12.817905,18.194663 ± 6.388754,1.513518 ± 0.667059
BPBD,DCT,OMP_k80,0.035417 ± 0.067456,14.419437 ± 12.093536,19.272908 ± 6.446448,2.162626 ± 0.921957
BPBD,IDCT,BPD,0.032296 ± 0.056179,14.087493 ± 11.158161,19.411004 ± 6.451434,1.613573 ± 1.014247
BPBD,IDCT,BPDN,0.032296 ± 0.056179,14.087494 ± 11.158161,19.411004 ± 6.451434,1.628850 ± 0.992608
BPBD,Wavelet_db4_5L,CVXP_BP_IND_CLARABEL,0.023121 ± 0.051365,11.091012 ± 10.401913,21.828647 ± 6.636223,3.130668 ± 1.128825
BPBD,Wavelet_db8_5L,BPD,0.035865 ± 0.067633,14.632267 ± 12.022819,19.090258 ± 6.390922,0.714104 ± 0.446037
BPBD,Wavelet_db8_5L,BPDN,0.035865 ± 0.067636,14.632298 ± 12.022917,19.090252 ± 6.390932,0.705313 ± 0.439916
BPBD,Wavelet_db8_5L,CVXP_BP_IND_CLARABEL,0.040665 ± 0.081226,15.396415 ± 13.023447,18.651918 ± 6.336135,23.740551 ± 7.467452
Gaussian,DCT,BPD,0.054443 ± 0.082218,19.011350 ± 13.528092,16.477895 ± 6.085577,10.755780 ± 5.476099
Gaussian,DCT,BPDN,0.054440 ± 0.082208,19.010772 ± 13.527739,16.478262 ± 6.085753,10.797692 ± 6.237896
SB_12,DCT,BPD,0.061280 ± 0.085524,20.479983 ± 13.905936,15.745157 ± 6.019094,4.810984 ± 3.213312
SB_12,DCT,BPDN,0.061284 ± 0.085538,20.480635 ± 13.906652,15.744917 ± 6.019149,4.914423 ± 4.416992
SB_16,DCT,BPD,0.059829 ± 0.084702,20.185369 ± 13.814789,15.878265 ± 6.013525,5.487453 ± 3.677001
SB_16,DCT,BPDN,0.059824 ± 0.084690,20.184671 ± 13.814033,15.878541 ± 6.013513,5.524480 ± 3.755437
SB_20,DCT,BPD,0.058261 ± 0.083391,19.901069 ± 13.659009,16.004897 ± 6.021408,5.797927 ± 3.673924
SB_20,DCT,BPDN,0.058262 ± 0.083392,19.901392 ± 13.658935,16.004711 ± 6.021379,5.959316 ± 5.744961
SB_24,DCT,BPD,0.058809 ± 0.084047,19.975734 ± 13.750043,15.991584 ± 6.051964,6.571477 ± 5.976551
SB_24,DCT,BPDN,0.058810 ± 0.084039,19.976076 ± 13.749897,15.991368 ± 6.051876,6.337722 ± 4.071572
SB_28,DCT,BPD,0.057346 ± 0.083207,19.705020 ± 13.608038,16.091226 ± 6.003215,6.412010 ± 4.918418
SB_28,DCT,BPDN,0.057342 ± 0.083191,19.704640 ± 13.607233,16.091351 ± 6.003205,6.491941 ± 5.743254
SB_32,DCT,BPD,0.057039 ± 0.082427,19.674047 ± 13.539790,16.097572 ± 5.995833,6.871297 ± 5.913443
SB_32,DCT,BPDN,0.057041 ± 0.082432,19.674375 ± 13.540255,16.097433 ± 5.995795,6.698584 ± 4.094484
SB_36,DCT,BPD,0.057899 ± 0.084154,19.776090 ± 13.707741,16.078266 ± 6.032621,6.901599 ± 4.124586
SB_36,DCT,BPDN,0.057897 ± 0.084149,19.775845 ± 13.707408,16.078333 ± 6.032537,7.017076 ± 5.092708
SB_40,DCT,BPD,0.056701 ± 0.083097,19.534618 ± 13.616748,16.198977 ± 6.049510,7.084849 ± 4.109475
SB_40,DCT,BPDN,0.056704 ± 0.083117,19.534636 ± 13.617701,16.199100 ± 6.049677,7.184034 ± 5.100379
SB_8,DCT,BPD,0.064686 ± 0.088232,21.098739 ± 14.202478,15.492982 ± 6.056633,4.082751 ± 4.191354
SB_8,DCT,BPDN,0.064688 ± 0.088250,21.098671 ± 14.203335,15.493107 ± 6.056706,3.937519 ± 2.735497
